longitude,countyFIPS,monthlyHoaFee,annualHomeownersInsurance,state,yearBuilt,latitude,rentZestimate,city,zestimateLowPercent,timeOnZillow,zestimate,livingArea,zipcode,propertyTaxRate,bathrooms,bedrooms,price,zestimateHighPercent,homeType_APARTMENT,homeType_CONDO,homeType_LOT,homeType_MANUFACTURED,homeType_MULTI_FAMILY,homeType_SINGLE_FAMILY
-149.91039,2020.0,0.0,2809,AK,1959.0,61.208595,3587.0,Anchorage,13.0,3970.0,668800.0,3434.0,99501,1.31,3.0,3.0,668800,14.0,0,0,0,0,0,1
-149.91039,2020.0,0.0,3016,AK,1961.0,61.20801,3271.0,Anchorage,8.0,1882.0,718100.0,3105.0,99501,1.31,2.0,5.0,718100,9.0,0,0,0,0,0,1
-149.91039,2020.0,0.0,3249,AK,1961.0,61.207874,4143.0,Anchorage,12.0,3728.0,773600.0,4146.0,99501,1.31,3.0,5.0,773600,14.0,0,0,0,0,0,1
-149.9113,2020.0,0.0,2266,AK,1961.0,61.20787,2654.0,Anchorage,10.0,1413.0,539500.0,1689.0,99501,1.31,2.0,3.0,539500,11.0,0,0,0,0,0,1
-149.9113,2020.0,0.0,2449,AK,1970.0,61.208008,2926.0,Anchorage,8.0,1972.0,583100.0,1770.0,99501,1.31,2.0,4.0,583100,9.0,0,0,0,0,0,1
-149.9113,2020.0,0.0,2504,AK,1957.0,61.208145,2819.0,Anchorage,11.0,2359.0,596100.0,2299.0,99501,1.31,2.0,3.0,596100,12.0,0,0,0,0,0,1
-149.9113,2020.0,0.0,2331,AK,1970.0,61.208282,1752.0,Anchorage,15.0,3676.0,555100.0,1200.0,99501,1.31,1.0,2.0,555100,17.0,1,0,0,0,0,0
-149.9113,2020.0,0.0,2724,AK,1960.0,61.2086,3341.0,Anchorage,13.0,3424.0,648600.0,2625.0,99501,1.31,2.5,3.0,648600,14.0,0,0,0,0,0,1
-149.91403,2020.0,0.0,2112,AK,1958.0,61.20754,3257.0,Anchorage,14.0,3725.0,502800.0,2092.0,99501,1.31,2.0,4.0,502800,16.0,0,0,0,0,0,1
-149.91533,2020.0,0.0,4463,AK,2001.0,61.20693,6023.0,Anchorage,12.0,3862.0,1062500.0,4456.0,99501,1.31,4.5,3.0,1062500,13.0,0,0,0,0,0,1
-149.91472,2020.0,0.0,2358,AK,1951.0,61.209423,3043.0,Anchorage,14.0,3350.0,561500.0,2474.0,99501,1.31,1.5,4.0,561500,15.0,0,0,0,0,0,1
-149.91522,2020.0,0.0,2265,AK,1967.0,61.208424,2614.0,Anchorage,12.0,3644.0,539200.0,2278.0,99501,1.31,2.5,4.0,539200,13.0,0,0,0,0,1,0
-149.91849,2020.0,0.0,2071,AK,1955.0,61.208828,2400.0,Anchorage,11.0,4234.0,493000.0,1920.0,99501,1.31,2.0,4.0,493000,11.0,0,0,0,0,1,0
-149.9269,2020.0,0.0,4491,AK,1989.0,61.206177,4259.0,Anchorage,13.0,3784.0,1069400.0,3459.0,99517,1.31,3.0,3.0,1069400,15.0,0,0,0,0,0,1
-149.91821,2020.0,500.0,2607,AK,1976.0,61.207867,2736.0,Anchorage,11.0,1918.0,620800.0,1953.0,99501,1.31,2.0,2.0,620800,12.0,0,1,0,0,0,0
-149.91908,2020.0,500.0,2462,AK,1976.0,61.207867,2993.0,Anchorage,13.0,3916.0,586300.0,1910.0,99501,1.31,2.5,2.0,586300,14.0,0,1,0,0,0,0
-149.919,2020.0,500.0,2847,AK,1979.0,61.208645,3911.0,Anchorage,9.0,3302.0,677800.0,2332.0,99501,1.31,3.0,3.0,677800,9.0,0,0,0,0,0,1
-149.93973,2020.0,0.0,3411,AK,1999.0,61.202976,4736.0,Anchorage,9.0,4697.0,812200.0,3622.0,99517,1.31,3.5,3.0,812200,10.0,0,0,0,0,0,1
-149.92288,2020.0,0.0,1465,AK,1956.0,61.20323,2725.0,Anchorage,14.0,4504.0,348900.0,1360.0,99517,1.31,1.5,2.0,348900,13.0,0,0,0,0,0,1
-149.92197,2020.0,0.0,2497,AK,1964.0,61.202488,2399.0,Anchorage,9.0,3177.0,594500.0,1600.0,99517,1.31,1.0,3.0,594500,10.0,0,0,0,0,0,1
-149.92416,2020.0,0.0,2187,AK,1965.0,61.203407,3083.0,Anchorage,10.0,3619.0,520600.0,1890.0,99517,1.31,2.0,4.0,520600,10.0,0,0,0,0,0,1
-149.9235,2020.0,0.0,4341,AK,1981.0,61.205105,4754.0,Anchorage,12.0,3325.0,1033500.0,3763.0,99517,1.31,4.0,4.0,1033500,13.0,0,0,0,0,0,1
-149.92574,2020.0,0.0,4169,AK,1988.0,61.205616,4214.0,Anchorage,13.0,2237.0,992700.0,3873.0,99517,1.31,3.0,3.0,992700,15.0,0,0,0,0,0,1
-149.92482,2020.0,0.0,3064,AK,1979.0,61.203815,4244.0,Anchorage,12.0,4305.0,729500.0,3686.0,99517,1.31,3.0,3.0,729500,13.0,0,0,0,0,0,1
-149.92622,2020.0,0.0,1370,AK,1966.0,61.205193,2970.0,Anchorage,16.0,6843.0,326300.0,1644.0,99517,1.31,2.0,4.0,326300,16.0,0,0,0,0,0,1
-149.89891,2020.0,0.0,1486,AK,1949.0,61.202717,1475.0,Anchorage,19.0,2258.0,353800.0,480.0,99503,1.31,1.0,1.0,353800,22.0,0,0,0,0,0,1
-149.8992,2020.0,358.0,1392,AK,1955.0,61.202717,2598.0,Anchorage,11.0,4941.0,331500.0,1404.0,99503,1.31,2.0,4.0,331500,11.0,0,0,0,0,0,1
-149.89949,2020.0,358.0,1625,AK,1952.0,61.202713,2621.0,Anchorage,11.0,4060.0,386800.0,1584.0,99503,1.31,2.0,3.0,386800,11.0,0,0,0,0,0,1
-149.90012,2020.0,358.0,1679,AK,1957.0,61.20271,2504.0,Anchorage,10.0,3863.0,399700.0,1400.0,99503,1.31,2.0,3.0,399700,10.0,0,0,0,0,0,1
-149.9004,2020.0,358.0,1261,AK,1956.0,61.20271,2045.0,Anchorage,12.0,3896.0,300200.0,900.0,99503,1.31,1.0,3.0,300200,13.0,0,0,0,0,0,1
-149.9007,2020.0,358.0,1176,AK,1956.0,61.20271,2144.0,Anchorage,13.0,4967.0,280100.0,983.0,99503,1.31,2.0,2.0,280100,14.0,0,0,0,0,0,1
-149.90097,2020.0,0.0,1535,AK,1968.0,61.202713,2520.0,Anchorage,11.0,6376.0,365400.0,1568.0,99503,1.31,2.0,4.0,365400,12.0,0,0,0,0,1,0
-149.90128,2020.0,0.0,2205,AK,1963.0,61.202713,3070.0,Anchorage,5.0,42.0,511200.0,3276.0,99503,1.31,4.0,6.0,525000,5.0,0,0,0,0,1,0
